concept1	concept2	families	languages	varieties	n_varieties_here	likely_homophone	alternatives_only	segments	forms
PRESS	PUSH	8	18	18	1	False	False	o s ɯ	osu | osu
RUB	SCRAPE	8	17	17	1	False	False	k o s u r ɯ	kosuru | kosuru
SPLIT	TEAR (SHRED)	8	17	20	1	False	True	s a k ɯ	saku | saku
SMOKE (INHALE)	SUCK	8	14	14	1	False	False	s ɯ ɯ	suu | suu
BEAT	SHOOT	8	10	11	1	False	False	ɯ ts ɯ	utsu | utsu
BURN (SOMETHING)	FRY	8	9	9	1	False	False	j a k ɯ	jäkɯ | jäkɯ
SEE	WATCH	7	27	27	1	None	False	mʲ i ɾ ɯ	mʲiɾɯ | mʲiɾɯ
CARVE	CUT (WITH AXE)	7	22	27	1	False	False	k i z a m ɯ	kizamu | kizamu
CARVE	CHOP (INTO PIECES)	7	22	27	1	False	False	k i z a m ɯ	kizamu | kizamu
DITCH	FURROW	7	18	20	1	None	False	m i z o	mizo | mizo
EARLY	FAST	7	16	17	1	False	False	h a j a i	hayai | hayai
DO	GIVE	7	14	24	1	False	True	j a r ɯ	yaru | yaru
PRAY	WORSHIP	7	11	11	1	False	True	o g a m ɯ	ogamu | ogamu
AT	WITH	7	9	9	1	None	True	d e	de | de
BLUE	UNRIPE	7	8	8	1	None	False	a o i	aoi | aoi
BRING	CARRY IN HAND	7	8	8	1	False	False	m o ts ɯ	motsu | motsu
GRANDMOTHER	PATERNAL AUNT (FATHER'S SISTER)	7	8	9	1	False	True	o̞ b aː s ã ɴ	o̞bäːsã̈ɴ | o̞bäːsã̈ɴ
GRANDMOTHER	MATERNAL AUNT (MOTHER'S SISTER)	7	8	9	1	False	True	o̞ b aː s ã ɴ	o̞bäːsã̈ɴ | o̞bäːsã̈ɴ
HEART	MIND	6	14	14	1	None	True	k o k o r o	kokoro | kokoro
CITIZEN	PEOPLE	6	12	13	1	None	True	k o k u m i n	kokumin | kokumin
FOLLOW	OBEY	6	6	6	1	False	True	ɕ i t a g a ɯ	shitagau | shitagau
BARLEY	WHEAT	5	16	19	1	None	True	m u g i	mugi | mugi
HUSBAND	MASTER	5	9	10	1	False	True	ɕ u ʑ i n	shujin | shujin
LATE	SLOW	5	8	10	1	None	False	o s o i	osoi | osoi
JOIN	TIE	5	7	7	1	False	True	m u s u b ɯ	musubu | musubu
SET (HEAVENLY BODIES)	SINK (DESCEND)	5	7	7	1	None	False	ɕ i z ɯ m ɯ	ɕizɯmɯ | ɕizɯmɯ
BAKE	BURN (SOMETHING)	5	6	6	1	False	False	j a k ɯ	jäkɯ | jäkɯ
GARDEN	YARD	5	6	6	1	None	False	n i w a	niwa | niwa
BRING	HOLD	5	5	5	1	False	False	m o ts ɯ	motsu | motsu
BREATHE	SUCK	4	6	7	2	False	False	s ɯ ɯ | s ɯː	suu,sɯɯ | suu,sɯɯ
LEATHER	SKIN (OF FRUIT)	4	6	6	1	False	False	k a w a	käwä | käwä
ASK (INQUIRE)	HEAR	4	5	8	2	False	False	k i k ɯ | kʲ i k ɯ	kiku,kʲikɯ | kiku,kʲikɯ
CARRY IN HAND	HAVE	4	4	4	1	False	False	m o ts ɯ	motsu | motsu
ASK (INQUIRE)	LISTEN	3	29	40	2	False	False	k i k ɯ | kʲ i k ɯ	kiku,kʲikɯ | kiku,kʲikɯ
GRIND	PULL	3	25	39	1	False	True	h i k ɯ	hiku | hiku
COMMON COLD (DISEASE)	WIND	3	16	16	1	None	False	k a z e	kaze | kaze
CUT	PUT ON	3	14	18	2	False	False	k i r ɯ | kʲ i ɾ ɯ	kiru,kʲiɾɯ | kiru,kʲiɾɯ
MEAL	RICE	3	11	11	1	None	True	g o h a n	gohan | gohan
DRINK	SWALLOW	3	9	11	1	False	False	n o m ɯ	nomu | nomu
HOT	THICK	3	9	12	3	False	False	a ts u i | a ts ɯ i	atsui,atsɯi,ät͡sɯi | atsui,atsɯi,ät͡sɯi
FAULT	SIN	3	7	7	1	False	False	ts ɯ mʲ i	t͡sɯmʲi | t͡sɯmʲi
COPULATE	SLEEP	3	4	4	1	False	True	n e r ɯ	neru | neru
ARRIVE	FOLLOW	3	3	3	1	False	True	ts u k ɯ	tsuku | tsuku
BORROW	OWE	3	3	3	1	False	False	k a r i r ɯ	kariru | kariru
CARRY UNDER ARM	EMBRACE	3	3	3	1	False	False	d a k ɯ	daku | daku
CARVE	DIG	3	3	3	1	False	False	h o r ɯ	horu | horu
FOLLOW	PUSH	3	3	3	1	False	True	ts u k ɯ	tsuku | tsuku
HOOK	NEEDLE (FOR SEWING)	3	3	3	1	False	False	h a ɾ i	häɾi | häɾi
JUMP	SPLASH	3	3	3	1	False	True	h a n e r ɯ	haneru | haneru
LEAF	TOOTH	2	19	24	3	False	False	h a	ha,hä | ha,hä
DAY (NOT NIGHT)	TWO	2	5	5	1	None	False	nʲ i	nʲi | nʲi
HOST	HUSBAND	2	5	6	1	False	True	ɕ u ʑ i n	shujin | shujin
DAY (NOT NIGHT)	FIRE	2	3	4	2	None	False	h i	hi | hi
ARRIVE	STING	2	2	2	1	False	False	ts ɯ k ɯ	t͡sɯkɯ | t͡sɯkɯ
ARRIVE	PUSH	2	2	2	1	False	True	ts u k ɯ	tsuku | tsuku
AT	TWO	2	2	2	1	None	True	n i	ni | ni
BARLEY	OAT	2	2	2	1	None	True	m u g i	mugi | mugi
BECOME	SOUND (OF INSTRUMENT OR VOICE)	2	2	2	1	False	False	n a ɾ ɯ	näɾɯ | näɾɯ
BEGET	EARN	2	2	2	1	False	False	m oː k e r ɯ	mōkeru | mōkeru
CHANGE	COME BACK	2	2	3	2	False	False	k a e r ɯ | k a e̞ ɾ ɯ	kaeru,käe̞ɾɯ | kaeru,käe̞ɾɯ
CHOOSE	WASH	2	2	2	1	False	True	s e n t a k ɯ	sentaku | sentaku
CUT	DRESS UP	2	2	2	1	None	False	kʲ i ɾ ɯ	kʲiɾɯ | kʲiɾɯ
DONATE	SEND	2	2	2	1	None	False	o̞ k ɯ ɾ ɯ	o̞kɯɾɯ | o̞kɯɾɯ
EXPENSIVE	TALL	2	2	2	1	None	False	t a k a i	takai | takai
EXPENSIVE	HIGH	2	2	2	1	None	False	t a k a i	takai | takai
FIRE	SUN	2	2	3	2	None	False	h i	hi | hi
GUN	TEN	2	2	2	1	False	True	ʑ ɯː	jū | jū
INTENTION	TREE	2	2	2	1	None	False	k i	ki | ki
MIX	SCRATCH	2	2	2	1	False	False	k a k ɯ	kaku | kaku
OAT	WHEAT	2	2	2	1	None	True	m u g i	mugi | mugi
SWORD	TENDON	2	2	2	1	None	True	k e n	ken | ken
FLOWER	NOSE	1	19	27	3	False	False	h a n a	hana,hänä | hana,hänä
BELOW OR UNDER	TONGUE	1	7	8	2	False	False	ɕ i t a	shita,ɕita | shita,ɕita
PUS	SEA	1	6	7	1	False	False	ɯ m i	umi | umi
BOTTOM	THERE	1	4	5	1	None	False	s o k o	soko | soko
CLOUD	SPIDER	1	2	3	2	None	False	k u m o | k ɯ m o̞	kumo,kɯmo̞ | kumo,kɯmo̞
DOWN	TONGUE	1	2	2	1	False	False	ɕ i t a	shita | shita
FLOWER	NASAL MUCUS (SNOT)	1	2	2	1	None	False	h a n a	hana | hana
ADMIT	MERCHANT	1	1	1	1	False	False	ɕ oː n i n	shōnin | shōnin
ADMIT	WITNESS	1	1	1	1	False	True	ɕ oː n i n	shōnin | shōnin
AFFAIR	TENDON	1	1	1	1	False	False	kʲ ẽ̞ ɴ	kʲẽ̞ɴ | kʲẽ̞ɴ
AGAIN	OR	1	1	1	1	None	True	m a t a	mata | mata
AGE	TOWN	1	1	2	2	False	True	t o ɕ i | t o̞ ɕ i	toshi,to̞ɕi | toshi,to̞ɕi
ANCHOR	ANGER	1	1	1	1	None	False	i k a r i	ikari | ikari
AND	DOOR	1	1	1	1	None	True	t o̞	to̞ | to̞
AND	ARROW	1	1	1	1	False	False	j a	ya | ya
ARSON	BEEHIVE	1	1	1	1	False	False	h oː k a	hōka | hōka
ASH	YES	1	1	1	1	None	False	h a i	hai | hai
AWL	FOG	1	1	1	1	None	False	k i r i	kiri | kiri
BAD LUCK	TODAY	1	1	1	1	False	False	k j oː	kyō | kyō
BALL	NINE	1	1	1	1	False	True	k j ɯː	kyū | kyū
BALL	BOWL	1	1	1	1	False	True	b oː r ɯ	bōru | bōru
BEAM	NEEDLE (FOR SEWING)	1	1	1	1	None	False	h a r i	hari | hari
BECAUSE	EMPTY	1	1	2	2	None	False	k a r a | k a ɾ a	kara,kaɾa | kara,kaɾa
BITE	STAB TO DEATH	1	1	1	1	False	False	s a s ɯ	sasu | sasu
BLOW (OF WIND)	WIPE	1	1	2	2	False	False	f ɯ k ɯ | ɸ u k ɯ	fuku,fɯkɯ | fuku,fɯkɯ
BLOW (OF WIND)	CLOTHES	1	1	1	1	False	False	ɸ u k ɯ	fuku | fuku
BLOW (WITH MOUTH)	WIPE	1	1	1	1	None	False	f ɯ k ɯ	fɯkɯ | fɯkɯ
BOWL	EIGHT	1	1	1	1	False	True	h a tɕ i	hachi | hachi
BOWL	WASP	1	1	1	1	False	False	h a tɕ i	hachi | hachi
BREAST	FATHER	1	1	1	1	False	True	tɕ i tɕ i	chichi | chichi
BREATHE	SMOKE (INHALE)	1	1	1	1	False	True	s ɯ ɯ	suu | suu
BRIDGE	END (OF SPACE)	1	1	2	2	False	False	h a ɕ i	hashi,häɕi | hashi,häɕi
BRIDGE	EDGE	1	1	1	1	False	False	h a ɕ i	hashi | hashi
BRING	HAVE	1	1	1	1	False	False	m o ts ɯ	motsu | motsu
BUTTERFLY	INTESTINES	1	1	1	1	False	False	tɕ oː	chō | chō
CHANGE	FROG	1	1	1	1	False	False	k a e r ɯ	kaeru | kaeru
CHANGE	RETURN HOME	1	1	1	1	False	False	k a e r ɯ	kaeru | kaeru
CHARCOAL	CORNER	1	1	1	1	None	True	s u m i	sumi | sumi
CHISEL	FLEA	1	1	1	1	None	False	n o m i	nomi | nomi
CLAW	SHEARS	1	1	1	1	None	False	h a s a m i	hasami | hasami
CLAY	HAMMER	1	1	1	1	False	True	ts u tɕ i	tsuchi | tsuchi
CLOTHES	WIPE	1	1	1	1	False	False	ɸ u k ɯ	fuku | fuku
COME BACK	FROG	1	1	1	1	False	False	k a e r ɯ	kaeru | kaeru
COOK (SOMETHING)	SIMILAR	1	1	1	1	False	False	n i r ɯ	niru | niru
COPPER	HOW	1	1	1	1	False	False	d oː	dō | dō
COPULATE	LIE DOWN	1	1	1	1	False	True	n e r ɯ	neru | neru
CUSTOM	WEEK	1	1	1	1	False	False	ɕ ɯː k a n	shūkan | shūkan
DAY (24 HOURS)	FIRE	1	1	1	1	None	False	h i	hi | hi
DEITY	HAIR	1	1	1	1	False	False	k a mʲ i	kämʲi | kämʲi
DEITY	PAPER	1	1	1	1	None	False	k a m i	kami | kami
DEITY	HAIR (HEAD)	1	1	1	1	None	False	k a m i	kami | kami
DIE	FAT (ORGANIC SUBSTANCE)	1	1	1	1	False	True	ɕ i b oː	shibō | shibō
EARTH (SOIL)	HAMMER	1	1	1	1	False	False	ts u tɕ i	tsuchi | tsuchi
EASY	READY	1	1	1	1	False	True	j oː i	yōi | yōi
EIGHT	WASP	1	1	1	1	False	False	h a tɕ i	hachi | hachi
ELEPHANT	STATUE	1	1	1	1	False	False	z oː	zō | zō
FENCE	TEAR (SHRED)	1	1	1	1	False	True	s a k ɯ	saku | saku
FENCE	SPLIT	1	1	1	1	False	True	s a k ɯ	saku | saku
FIVE	WORD	1	1	1	1	None	True	g o	go | go
FLOWING BODY OF WATER	LEATHER	1	1	1	1	None	False	k a w a	kawa | kawa
FLOWING BODY OF WATER	SKIN	1	1	1	1	None	False	k a w a	kawa | kawa
FOAM	MILLET	1	1	1	1	None	False	a w a	awa | awa
FROG	RETURN HOME	1	1	1	1	False	False	k a e r ɯ	kaeru | kaeru
GLUE	SPRINGTIME	1	1	1	1	False	False	h a ɾ ɯ	häɾɯ | häɾɯ
HAIR (HEAD)	PAPER	1	1	1	1	None	False	k a m i	kami | kami
HOOK	KEY	1	1	1	1	None	False	k a g i	kagi | kagi
HUNT	MOW	1	1	1	1	False	False	k a r ɯ	karu | karu
INTENTION	THREAD	1	1	1	1	None	False	i t o	ito | ito
INTENTION	WOOD	1	1	1	1	None	True	k i	ki | ki
KNOW (SOMETHING)	SOUP	1	1	1	1	False	False	ɕ i r ɯ	shiru | shiru
LAGOON	SHOULDER	1	1	1	1	None	False	k a t a	kata | kata
LEATHER	RIVER	1	1	1	1	False	False	k a w a	käwä | käwä
LEAVE	MONKEY	1	1	1	1	False	False	s a r ɯ	saru | saru
LET GO OR SET FREE	SPEAK	1	1	1	1	False	False	h a n a s ɯ	hanasu | hanasu
LINE	TENDON	1	1	1	1	False	True	s u ʑ i	suji | suji
LINE	THOUSAND	1	1	2	2	False	False	s e n | s ẽ̞ ɴ	sen,sẽ̞ɴ | sen,sẽ̞ɴ
MALE (OF ANIMAL)	PUSH	1	1	1	1	False	False	o s ɯ	osu | osu
MALE (OF ANIMAL)	PRESS	1	1	1	1	False	False	o s ɯ	osu | osu
MARKET	ONE	1	1	1	1	False	False	i tɕ i	ichi | ichi
MERCHANT	WITNESS	1	1	1	1	False	False	ɕ oː n i n	shōnin | shōnin
MIX	WRITE	1	1	1	1	False	False	k a k ɯ	kaku | kaku
MOSQUITO	OR	1	1	1	1	None	False	k a	ka | ka
NEAR	OATH	1	1	1	1	False	False	tɕ i k a i	chikai | chikai
NIGHT	TWIST	1	1	1	1	False	False	j o r ɯ	yoru | yoru
OAR	SHELL	1	1	1	1	None	False	k a i	kai | kai
OATH	TEACHER	1	1	1	1	None	True	s e n s e i	sensei | sensei
OCEAN	SUN	1	1	1	1	False	True	t a i j oː	taiyō | taiyō
PADDLE	SHELL	1	1	1	1	None	False	k a i	kai | kai
PINE	WAIT (FOR)	1	1	1	1	False	False	m a ts ɯ	mät͡sɯ | mät͡sɯ
RIVER	SKIN (OF FRUIT)	1	1	1	1	False	False	k a w a	käwä | käwä
ROUGH (OF SEA)	WET	1	1	1	1	False	False	ɕ i k e r ɯ	shikeru | shikeru
SCRATCH	WRITE	1	1	1	1	False	False	k a k ɯ	kaku | kaku
STEAL	TAKE	1	1	1	1	None	False	t o̞ ɾ ɯ	to̞ɾɯ | to̞ɾɯ
SWEEP	VOMIT	1	1	1	1	False	True	h a k ɯ	haku | haku
TEN	TOWER	1	1	1	1	False	False	t oː	tō | tō
THOU	YOLK	1	1	1	1	None	False	k i m i	kimi | kimi
TOWN	YEAR	1	1	2	2	False	False	t o ɕ i | t o̞ ɕ i	toshi,to̞ɕi | toshi,to̞ɕi
